command,u,v,transport_cost,line_capacity,item_id,source_x,source_y,mass,energy_density,pickup_cost,digester_id,time_slot,timeslot_capacity,extra
FEED,,,,,102,441.038,345.201,287.563,3.001,14.7,11,7,,
FEED,,,,,103,148.669,88.302,167.181,3.385,189.42,2,7,,
FEED,,,,,104,565.729,299.792,344.941,0.249,117.11,6,20,,
FEED,,,,,105,362.001,604.652,488.464,0.669,62.23,14,9,,
FEED,,,,,106,569.916,137.811,382.662,3.128,30.65,9,4,,
FEED,,,,,107,133.521,595.933,30.782,3.783,16.23,18,0,,
FEED,,,,,108,562.812,124.506,112.17,3.407,70.85,3,22,,
FEED,,,,,109,482.328,332.098,260.313,1.609,133.07,18,19,,
FEED,,,,,110,98.482,900.304,320.23,4.394,133.35,14,10,,
FEED,,,,,111,65.835,350.782,225.565,4.98,163.49,2,0,,
FEED,,,,,112,719.301,328.117,451.37,4.288,64.21,12,17,,
FEED,,,,,113,450.181,317.025,401.945,1.568,72.38,7,10,,
FEED,,,,,114,555.499,199.441,458.066,4.868,27.3,12,18,,
FEED,,,,,115,3.689,231.964,190.662,1.613,147.81,7,2,,
FEED,,,,,116,652.106,604.565,434.207,3.023,134.0,15,14,,
FEED,,,,,117,182.466,847.026,137.024,3.996,9.32,4,8,,
FEED,,,,,118,547.045,930.59,115.228,0.301,167.06,14,17,,
FEED,,,,,119,853.077,685.826,187.015,4.033,179.48,10,13,,
FEED,,,,,120,429.955,346.827,132.148,3.381,197.29,13,16,,
FEED,,,,,121,947.134,22.988,219.623,0.809,93.0,15,9,,
FEED,,,,,122,336.773,829.679,309.165,0.716,157.77,0,6,,
FEED,,,,,123,772.678,386.772,408.885,4.74,165.6,18,10,,
FEED,,,,,124,79.009,917.124,98.104,2.71,122.19,12,17,,
FEED,,,,,125,26.799,74.859,403.099,2.74,130.37,14,1,,
FEED,,,,,126,438.009,833.682,249.227,2.539,63.54,5,23,,
FEED,,,,,127,861.633,647.722,210.913,0.775,102.62,3,0,,
FEED,,,,,128,493.908,186.521,489.94,1.104,78.85,11,9,,
FEED,,,,,129,220.506,112.325,54.388,3.606,78.73,7,14,,
FEED,,,,,130,936.932,987.892,475.56,3.335,152.21,10,21,,
FEED,,,,,131,922.378,525.398,126.587,2.75,64.2,2,7,,
FEED,,,,,132,358.783,123.763,367.49,4.767,26.81,14,6,,
FEED,,,,,133,543.707,895.307,333.877,1.023,21.23,15,4,,
FEED,,,,,134,96.947,283.938,129.163,0.963,29.67,4,0,,
FEED,,,,,135,606.194,993.633,131.151,0.632,36.76,11,22,,
FEED,,,,,136,183.657,798.417,245.819,0.593,98.79,3,5,,
FEED,,,,,137,778.94,272.04,432.457,1.483,20.29,1,21,,
FEED,,,,,138,99.252,258.473,387.381,4.579,32.22,0,7,,
FEED,,,,,139,193.477,239.958,48.72,4.209,67.89,18,7,,
FEED,,,,,140,322.094,444.944,32.799,2.364,27.13,10,22,,
FEED,,,,,141,587.503,964.91,421.969,2.143,162.46,14,14,,
FEED,,,,,142,465.773,644.429,90.167,4.776,85.83,19,5,,
FEED,,,,,143,401.852,97.371,293.286,1.312,100.05,14,20,,
FEED,,,,,144,702.918,406.716,95.851,4.322,13.21,4,4,,
FEED,,,,,145,378.566,613.864,145.004,4.133,140.38,13,19,,
FEED,,,,,146,354.699,570.529,135.338,1.928,61.89,0,19,,
FEED,,,,,147,399.247,490.246,387.777,0.336,18.04,0,5,,
FEED,,,,,148,958.541,807.812,352.23,3.012,192.32,15,20,,
FEED,,,,,149,868.85,31.329,216.493,2.663,57.91,14,16,,
FEED,,,,,150,376.401,43.445,198.305,0.185,163.79,10,22,,
FEED,,,,,151,387.052,311.079,266.556,1.155,77.73,18,13,,
FEED,,,,,152,855.301,658.019,85.572,3.932,7.8,0,16,,
FEED,,,,,153,982.862,490.538,248.296,0.501,113.42,6,20,,
FEED,,,,,154,201.213,588.729,471.946,2.745,162.78,15,9,,
FEED,,,,,155,582.636,508.243,293.568,0.715,143.69,5,21,,
FEED,,,,,156,174.19,647.612,51.301,0.132,87.51,3,10,,
FEED,,,,,157,853.839,842.89,105.011,4.031,124.67,7,20,,
FEED,,,,,158,523.739,843.887,197.625,1.643,181.87,2,13,,
FEED,,,,,159,789.757,723.166,439.037,2.697,164.23,10,8,,
FEED,,,,,160,19.171,912.286,164.897,3.529,79.71,4,0,,
FEED,,,,,161,992.846,329.476,79.335,0.756,95.68,5,23,,
FEED,,,,,162,386.937,229.492,365.59,2.582,164.71,16,3,,
FEED,,,,,163,17.71,277.286,229.074,1.374,76.35,14,3,,
FEED,,,,,164,800.931,548.806,125.115,2.149,72.24,16,13,,
FEED,,,,,165,940.588,53.311,369.908,1.397,116.48,4,3,,
FEED,,,,,166,514.505,251.266,498.721,1.052,107.68,13,21,,
FEED,,,,,167,638.563,365.32,317.325,2.749,36.28,7,8,,
FEED,,,,,168,113.781,986.76,271.557,2.696,169.59,19,11,,
FEED,,,,,169,204.832,188.94,315.861,4.197,101.64,9,13,,
FEED,,,,,170,837.683,615.39,472.203,2.904,110.15,5,14,,
FEED,,,,,171,751.743,271.811,433.61,3.046,123.12,9,7,,
FEED,,,,,172,996.071,680.328,318.264,0.807,93.31,14,2,,
FEED,,,,,173,764.145,833.306,84.26,1.945,161.04,2,23,,
FEED,,,,,174,89.98,269.308,390.355,2.285,197.76,19,6,,
FEED,,,,,175,63.961,790.501,49.012,2.12,152.39,8,2,,
FEED,,,,,176,82.688,655.589,499.324,4.075,168.7,12,9,,
FEED,,,,,177,697.02,643.966,61.758,2.062,60.59,16,5,,
FEED,,,,,178,501.703,221.751,396.644,1.05,192.41,8,22,,
FEED,,,,,179,49.445,635.867,468.659,4.787,171.44,3,15,,
FEED,,,,,180,443.781,455.584,355.951,3.401,181.23,18,23,,
FEED,,,,,181,868.426,472.836,262.244,0.789,23.32,11,4,,
FEED,,,,,182,54.272,991.156,359.769,3.132,110.26,1,7,,
FEED,,,,,183,435.05,197.043,226.38,1.309,98.65,15,9,,
FEED,,,,,184,306.64,732.43,299.336,1.498,87.62,1,12,,
FEED,,,,,185,38.469,81.558,385.23,1.842,27.73,16,16,,
FEED,,,,,186,828.846,571.171,72.015,4.48,13.47,16,14,,
FEED,,,,,187,832.01,967.181,460.088,0.661,75.02,10,21,,
FEED,,,,,188,448.147,912.884,76.73,1.033,14.84,16,10,,
FEED,,,,,189,124.967,793.832,451.145,0.414,16.4,5,14,,
FEED,,,,,190,446.479,178.925,169.321,1.836,166.28,10,23,,
FEED,,,,,191,387.202,891.067,167.164,4.22,128.07,5,7,,
FEED,,,,,192,42.769,196.999,122.872,2.735,67.72,15,12,,
FEED,,,,,193,769.013,518.137,164.037,2.36,54.42,5,6,,
FEED,,,,,194,893.117,947.766,426.496,0.407,87.07,2,7,,
FEED,,,,,195,351.483,871.694,80.258,2.52,132.19,13,3,,
FEED,,,,,196,831.318,783.719,391.786,0.363,66.82,7,15,,
FEED,,,,,197,54.988,891.23,443.59,0.427,153.41,16,13,,
FEED,,,,,198,782.186,885.077,397.773,0.39,72.48,14,18,,
FEED,,,,,199,577.796,253.083,484.38,0.622,98.81,18,14,,
FEED,,,,,200,182.614,706.163,160.5,1.361,34.63,17,19,,
FEED,,,,,201,568.059,851.911,304.9,0.298,90.41,5,8,,
FEED,,,,,202,43.687,123.364,211.679,0.889,58.76,1,2,,
FEED,,,,,203,44.874,610.111,436.71,1.066,34.55,7,2,,
FEED,,,,,204,244.951,413.325,101.202,1.92,56.84,16,12,,
FEED,,,,,205,529.125,279.154,300.374,4.149,163.95,11,1,,
FEED,,,,,206,997.743,636.067,91.503,0.204,21.21,6,4,,
FEED,,,,,207,888.729,890.272,218.52,2.219,6.93,3,5,,
FEED,,,,,208,393.918,902.652,172.983,1.347,16.57,10,3,,
FEED,,,,,209,587.151,465.756,310.183,0.785,93.43,2,4,,
FEED,,,,,210,841.685,334.673,125.187,2.407,99.39,7,11,,
FEED,,,,,211,770.771,976.811,155.247,2.156,120.24,13,6,,
FEED,,,,,212,578.09,871.153,426.807,4.914,196.43,12,22,,
FEED,,,,,213,457.662,597.821,243.997,0.842,196.88,14,4,,
FEED,,,,,214,255.266,231.022,275.373,0.892,143.76,2,16,,
FEED,,,,,215,148.825,937.856,135.221,3.456,160.34,6,7,,
FEED,,,,,216,513.144,443.62,27.447,3.37,187.69,1,20,,
FEED,,,,,217,721.69,327.022,236.843,4.813,16.6,13,2,,
FEED,,,,,218,218.565,278.574,303.51,4.482,61.24,8,18,,
FEED,,,,,219,885.357,362.915,480.236,1.012,24.18,18,10,,
FEED,,,,,220,899.943,798.895,446.035,1.96,34.41,14,2,,
FEED,,,,,221,337.476,286.043,221.798,3.79,5.83,13,9,,
FEED,,,,,222,268.639,360.746,223.539,0.667,14.64,15,7,,
FEED,,,,,223,530.64,163.827,444.554,1.584,166.54,18,7,,
FEED,,,,,224,15.322,640.177,393.581,1.484,182.21,6,3,,
FEED,,,,,225,861.233,600.525,253.485,4.578,187.54,19,10,,
FEED,,,,,226,877.789,845.789,399.906,1.823,70.96,2,6,,
FEED,,,,,227,217.697,681.373,464.621,2.982,178.71,16,23,,
FEED,,,,,228,624.782,683.594,22.889,1.888,160.17,9,17,,
FEED,,,,,229,31.508,603.96,468.884,0.12,182.24,4,8,,
FEED,,,,,230,689.955,974.023,289.435,1.172,107.25,12,11,,
FEED,,,,,231,116.667,552.567,212.573,3.609,27.96,14,22,,
FEED,,,,,232,900.845,266.78,22.922,4.084,165.91,5,20,,
FEED,,,,,233,800.567,352.417,179.364,0.547,108.11,12,7,,
FEED,,,,,234,905.62,25.628,193.999,4.476,82.65,18,6,,
FEED,,,,,235,963.028,567.278,486.375,4.01,69.01,3,16,,
FEED,,,,,236,281.535,584.905,88.968,4.513,43.67,16,9,,
FEED,,,,,237,419.982,967.506,373.609,4.822,35.49,4,16,,
FEED,,,,,238,229.486,694.432,89.09,1.892,88.72,15,15,,
FEED,,,,,239,730.424,182.845,65.931,0.598,73.53,14,13,,
FEED,,,,,240,812.432,802.018,218.434,0.529,133.78,15,23,,
FEED,,,,,241,283.294,77.705,435.563,0.566,81.16,18,6,,
FEED,,,,,242,501.376,957.888,461.749,1.685,193.54,15,12,,
FEED,,,,,243,49.329,206.786,88.244,0.332,57.41,10,10,,
FEED,,,,,244,411.789,259.524,128.348,4.296,51.28,11,7,,
FEED,,,,,245,578.58,181.002,494.257,2.09,110.48,2,7,,
FEED,,,,,246,521.533,857.094,353.712,3.586,41.21,5,22,,
FEED,,,,,247,992.124,218.606,275.371,4.992,114.71,14,12,,
FEED,,,,,248,319.822,54.598,484.947,1.999,66.78,6,18,,
FEED,,,,,249,575.056,981.023,186.953,4.647,126.55,5,3,,
FEED,,,,,250,61.392,950.498,213.782,3.921,55.6,9,6,,
FEED,,,,,251,765.037,982.669,444.629,2.994,191.46,19,5,,
FEED,,,,,252,398.293,975.398,19.451,2.522,97.25,15,21,,
FEED,,,,,253,965.066,155.709,378.357,0.125,85.85,10,11,,
FEED,,,,,254,283.492,888.204,278.294,0.356,194.97,16,5,,
FEED,,,,,255,632.504,109.534,483.373,3.445,192.08,0,15,,
FEED,,,,,256,309.778,854.14,482.954,0.854,98.83,3,13,,
FEED,,,,,257,238.818,86.991,307.03,2.24,26.99,11,21,,
FEED,,,,,258,757.405,6.796,336.459,4.212,139.95,5,9,,
FEED,,,,,259,948.103,60.898,342.359,0.952,136.83,12,12,,
FEED,,,,,260,455.859,475.674,249.323,2.811,95.53,2,23,,
FEED,,,,,261,209.002,27.639,288.895,1.63,90.65,2,19,,
FEED,,,,,262,514.925,253.374,289.071,0.235,161.9,5,5,,
FEED,,,,,263,629.565,662.832,465.584,3.56,20.17,18,15,,
FEED,,,,,264,107.416,743.836,71.931,1.516,72.88,16,1,,
FEED,,,,,265,962.283,898.474,24.268,3.788,98.4,0,17,,
FEED,,,,,266,823.144,244.485,401.513,2.778,100.97,18,8,,
FEED,,,,,267,535.874,367.437,202.954,1.255,57.26,17,4,,
FEED,,,,,268,204.487,13.932,409.635,3.637,68.92,1,2,,
FEED,,,,,269,156.889,138.535,186.629,3.69,105.32,10,5,,
FEED,,,,,270,494.44,29.237,189.62,0.507,149.56,9,2,,
FEED,,,,,271,444.923,967.462,252.577,0.933,15.37,7,18,,
FEED,,,,,272,509.106,875.58,332.518,0.11,112.35,12,16,,
FEED,,,,,273,711.166,477.54,238.357,3.454,52.16,14,10,,
FEED,,,,,274,987.659,903.691,395.622,4.786,145.55,15,13,,
FEED,,,,,275,379.333,927.45,110.973,1.466,102.3,3,5,,
FEED,,,,,276,521.991,294.287,402.623,4.605,65.84,10,7,,
FEED,,,,,277,734.024,7.143,470.154,0.578,197.81,3,14,,
FEED,,,,,278,132.721,739.043,153.365,0.667,127.22,15,13,,
FEED,,,,,279,103.285,754.916,459.854,2.41,135.2,3,19,,
FEED,,,,,280,90.817,866.484,248.347,0.208,50.39,4,0,,
FEED,,,,,281,265.951,192.15,418.398,2.791,102.38,15,15,,
FEED,,,,,282,944.031,940.76,485.307,3.089,136.64,8,0,,
FEED,,,,,283,585.168,66.281,45.822,3.604,17.95,9,23,,
FEED,,,,,284,559.883,370.498,155.294,3.448,146.07,2,19,,
FEED,,,,,285,445.206,98.279,375.629,4.899,110.77,11,22,,
FEED,,,,,286,172.026,606.909,204.139,1.846,33.08,9,17,,
FEED,,,,,287,788.032,830.297,119.174,2.825,89.26,0,11,,
FEED,,,,,288,823.462,372.347,466.039,1.111,108.03,17,11,,
FEED,,,,,289,959.27,954.076,61.225,0.667,96.63,12,16,,
FEED,,,,,290,235.245,299.256,421.877,2.921,136.07,19,14,,
FEED,,,,,291,308.236,539.772,271.94,2.698,56.82,17,10,,
FEED,,,,,292,682.846,147.392,128.332,3.27,161.17,0,6,,
FEED,,,,,293,964.726,3.777,293.66,0.842,10.32,11,21,,
FEED,,,,,294,666.367,430.407,412.641,1.569,14.01,10,21,,
FEED,,,,,295,819.993,355.868,17.546,0.597,34.75,13,14,,
FEED,,,,,296,382.909,442.161,220.516,2.227,96.41,4,9,,
FEED,,,,,297,514.144,46.697,405.933,3.129,57.64,12,0,,
FEED,,,,,298,28.858,733.658,389.125,2.183,20.59,1,7,,
FEED,,,,,299,488.064,26.372,274.862,2.688,30.5,17,1,,
FEED,,,,,300,338.645,174.588,496.669,4.189,172.96,8,1,,
FEED,,,,,301,968.311,846.028,261.113,3.92,17.97,14,17,,
FEED,,,,,302,72.201,91.004,260.569,4.396,18.5,19,9,,
FEED,,,,,303,532.348,367.818,391.959,1.757,60.25,16,16,,
FEED,,,,,304,854.966,692.234,329.767,0.136,196.26,0,21,,
FEED,,,,,305,565.338,459.723,191.242,4.041,70.77,18,18,,
FEED,,,,,306,578.281,226.566,207.302,3.788,180.48,8,4,,
FEED,,,,,307,173.498,103.445,34.42,1.105,12.94,16,11,,
FEED,,,,,308,537.059,701.922,176.479,1.809,114.76,19,5,,
FEED,,,,,309,404.879,655.816,97.624,3.549,9.18,17,2,,
FEED,,,,,310,663.113,803.027,378.807,0.54,170.64,14,16,,
FEED,,,,,311,443.549,50.943,383.765,2.757,40.99,1,0,,
FEED,,,,,312,442.814,861.143,85.019,1.7,18.0,9,16,,
FEED,,,,,313,771.123,4.415,492.423,0.64,155.34,13,17,,
FEED,,,,,314,605.611,911.24,195.076,4.984,89.5,7,14,,
FEED,,,,,315,598.088,776.533,172.103,2.373,84.67,18,15,,
FEED,,,,,316,710.589,828.912,273.476,2.211,64.0,17,0,,
FEED,,,,,317,636.744,708.06,140.312,2.275,75.6,4,21,,
FEED,,,,,318,774.942,463.088,470.956,3.777,79.01,7,16,,
FEED,,,,,319,751.457,647.414,470.983,1.762,11.8,8,22,,
FEED,,,,,320,175.809,646.281,498.367,4.865,26.95,12,18,,
FEED,,,,,321,394.812,955.89,232.466,0.32,180.75,3,16,,
FEED,,,,,322,728.501,121.205,212.9,2.827,122.28,11,2,,
FEED,,,,,323,472.647,695.036,79.066,4.163,39.2,5,8,,
FEED,,,,,324,70.756,225.328,129.238,4.411,184.13,9,15,,
FEED,,,,,325,157.952,371.59,477.915,0.328,108.59,6,16,,
FEED,,,,,326,685.953,302.561,462.288,3.23,107.42,16,0,,
FEED,,,,,327,33.319,148.314,144.994,2.034,140.28,13,4,,
FEED,,,,,328,283.163,226.619,372.341,3.997,134.54,13,10,,
FEED,,,,,329,422.33,216.561,145.416,4.163,27.52,11,18,,
FEED,,,,,330,134.066,991.116,87.757,1.708,192.05,1,0,,
FEED,,,,,331,66.311,172.416,245.439,2.751,64.21,12,5,,
FEED,,,,,332,582.634,321.436,479.241,0.93,72.93,12,16,,
FEED,,,,,333,499.335,72.439,80.947,3.714,153.09,7,13,,
FEED,,,,,334,805.405,394.28,473.313,1.45,109.33,12,23,,
FEED,,,,,335,763.772,275.157,136.528,3.645,130.31,17,0,,
FEED,,,,,336,107.533,705.471,98.259,2.619,127.11,13,10,,
FEED,,,,,337,16.848,812.256,106.597,2.015,105.95,2,5,,
FEED,,,,,338,243.269,92.666,345.155,4.59,105.0,12,16,,
FEED,,,,,339,208.195,807.518,218.27,3.877,54.27,1,9,,
FEED,,,,,340,507.242,505.645,368.383,4.874,155.05,17,11,,
FEED,,,,,341,541.248,276.431,214.558,4.165,149.32,19,12,,
FEED,,,,,342,321.094,882.366,57.749,1.971,81.45,14,3,,
FEED,,,,,343,973.001,218.518,222.375,2.476,130.36,19,5,,
FEED,,,,,344,978.314,365.092,375.108,1.753,126.54,5,23,,
FEED,,,,,345,752.039,595.189,81.295,2.501,90.17,19,17,,
FEED,,,,,346,81.246,949.133,484.803,0.363,187.53,10,18,,
FEED,,,,,347,370.823,394.74,433.356,2.039,78.61,18,23,,
FEED,,,,,348,215.802,176.731,268.526,2.384,107.62,1,9,,
FEED,,,,,349,383.266,620.956,384.905,2.468,175.49,16,22,,
FEED,,,,,350,573.826,177.302,414.44,2.129,72.66,7,3,,
FEED,,,,,351,332.818,605.233,481.647,0.102,15.34,6,5,,
FEED,,,,,352,217.824,130.194,285.812,0.311,30.19,0,2,,
FEED,,,,,353,975.518,178.712,312.067,1.849,67.6,6,13,,
FEED,,,,,354,618.229,31.907,345.191,1.703,77.83,19,21,,
FEED,,,,,355,265.384,612.888,456.406,4.856,58.77,12,16,,
FEED,,,,,356,978.729,316.123,342.709,0.481,7.62,19,7,,
FEED,,,,,357,572.117,954.859,175.758,3.897,104.46,6,2,,
FEED,,,,,358,677.649,456.352,92.57,3.426,86.24,17,13,,
FEED,,,,,359,626.055,713.597,475.602,2.16,58.78,16,4,,
FEED,,,,,360,556.126,147.739,413.415,3.701,113.16,2,7,,
FEED,,,,,361,171.949,919.531,242.229,3.529,87.9,4,11,,
FEED,,,,,362,840.231,738.215,466.281,1.854,78.43,3,6,,
FEED,,,,,363,128.086,832.366,157.931,0.915,75.02,6,10,,
FEED,,,,,364,183.988,950.1,95.134,2.076,24.56,0,2,,
FEED,,,,,365,918.222,513.036,430.63,3.623,68.19,5,10,,
FEED,,,,,366,830.508,966.972,246.243,1.412,165.13,11,14,,
FEED,,,,,367,364.44,893.01,326.923,3.714,101.9,13,11,,
FEED,,,,,368,99.008,124.105,29.152,0.594,183.57,7,15,,
FEED,,,,,369,406.028,738.714,401.901,2.792,61.82,3,12,,
FEED,,,,,370,37.506,952.725,431.247,3.686,90.25,11,12,,
FEED,,,,,371,944.683,238.509,445.191,4.82,97.19,14,23,,
FEED,,,,,372,562.611,15.25,414.384,1.189,99.3,11,20,,
FEED,,,,,373,72.048,40.338,284.536,3.734,167.44,1,13,,
FEED,,,,,374,716.1,500.446,454.542,2.369,65.68,8,0,,
FEED,,,,,375,120.826,268.88,34.788,1.711,18.33,0,7,,
FEED,,,,,376,441.34,884.153,163.68,1.789,35.78,9,0,,
FEED,,,,,377,191.03,464.975,124.668,3.876,120.88,11,4,,
FEED,,,,,378,476.968,535.214,319.227,2.225,131.18,6,0,,
FEED,,,,,379,400.055,491.579,284.923,3.013,16.77,7,11,,
FEED,,,,,380,313.344,548.065,447.574,1.106,161.17,3,17,,
FEED,,,,,381,486.512,347.517,495.767,4.606,146.08,9,17,,
FEED,,,,,382,2.159,252.129,153.346,2.963,127.09,12,5,,
FEED,,,,,383,610.589,316.391,264.04,0.987,66.03,12,6,,
FEED,,,,,384,405.138,243.357,265.393,1.837,49.99,15,13,,
FEED,,,,,385,811.9,798.916,202.946,0.455,149.11,6,16,,
FEED,,,,,386,449.222,713.812,250.135,2.368,60.82,16,11,,
FEED,,,,,387,418.269,168.033,132.637,4.556,175.87,2,18,,
FEED,,,,,388,471.0,95.632,454.457,1.943,114.83,10,15,,
FEED,,,,,389,626.124,821.004,344.787,3.527,79.16,10,6,,
FEED,,,,,390,860.544,28.934,442.322,1.822,87.8,7,10,,
FEED,,,,,391,327.87,109.809,257.316,0.43,27.69,9,13,,
FEED,,,,,392,646.514,784.212,252.758,4.787,126.87,14,16,,
FEED,,,,,393,818.07,821.915,312.67,4.536,184.19,18,7,,
FEED,,,,,394,784.43,998.35,40.649,2.852,30.34,11,13,,
FEED,,,,,395,866.903,516.723,463.084,3.712,97.83,3,0,,
FEED,,,,,396,521.722,48.01,244.154,3.706,71.86,1,12,,
FEED,,,,,397,832.888,444.101,252.512,2.73,52.36,16,19,,
FEED,,,,,398,279.886,923.41,67.515,2.751,68.15,8,19,,
FEED,,,,,399,861.508,297.003,422.855,0.924,115.51,13,4,,
FEED,,,,,400,607.263,725.743,498.083,1.035,131.03,4,9,,
FEED,,,,,401,35.218,58.974,237.681,2.698,164.24,17,13,,
FEED,,,,,402,950.972,9.309,167.586,4.528,60.0,16,18,,
FEED,,,,,403,953.249,107.167,175.439,3.281,149.09,16,16,,
FEED,,,,,404,595.611,700.191,327.084,4.901,48.89,14,8,,
FEED,,,,,405,633.848,14.759,487.264,1.461,67.15,4,16,,
FEED,,,,,406,395.209,330.938,72.829,4.301,88.82,16,23,,
FEED,,,,,407,686.007,462.4,320.966,0.731,29.08,6,15,,
FEED,,,,,408,163.296,397.962,266.29,3.305,21.88,19,14,,
FEED,,,,,409,145.186,536.26,437.47,0.46,143.79,15,23,,
FEED,,,,,410,91.101,105.365,235.771,1.952,187.73,11,10,,
FEED,,,,,411,879.854,915.588,460.357,4.448,165.9,12,10,,
FEED,,,,,412,833.642,310.261,103.336,3.902,138.1,13,14,,
FEED,,,,,413,326.573,140.844,158.283,4.923,109.54,14,10,,
FEED,,,,,414,449.926,437.509,319.775,3.325,93.81,1,22,,
FEED,,,,,415,395.327,592.744,194.119,1.503,174.52,13,20,,
FEED,,,,,416,893.305,366.131,127.305,1.386,193.59,4,0,,
FEED,,,,,417,131.146,250.979,80.686,0.383,118.38,10,6,,
FEED,,,,,418,709.993,732.847,239.987,0.439,188.01,4,5,,
FEED,,,,,419,295.784,184.901,70.435,3.821,119.79,19,15,,
FEED,,,,,420,834.091,65.097,31.567,2.868,116.77,3,13,,
FEED,,,,,421,174.874,621.638,66.243,2.138,32.61,15,5,,
FEED,,,,,422,62.429,546.756,169.946,1.306,84.61,8,4,,
FEED,,,,,423,953.713,514.039,106.505,0.997,63.24,1,11,,
FEED,,,,,424,793.66,937.192,90.035,3.848,23.45,14,4,,
FEED,,,,,425,85.689,209.576,457.898,3.086,7.97,16,11,,
FEED,,,,,426,931.271,972.367,17.906,2.358,8.11,18,8,,
FEED,,,,,427,792.738,253.843,216.359,2.649,27.45,1,14,,
FEED,,,,,428,262.403,651.894,434.266,4.577,142.61,8,18,,
FEED,,,,,429,677.917,96.636,482.945,3.278,138.84,0,20,,
FEED,,,,,430,90.512,795.997,414.591,0.673,172.1,19,18,,
FEED,,,,,431,600.191,323.586,464.346,1.917,115.4,19,12,,
FEED,,,,,432,767.71,362.233,443.564,3.189,74.43,8,14,,
FEED,,,,,433,605.093,125.556,155.992,4.131,126.8,14,6,,
FEED,,,,,434,43.138,47.254,380.779,2.0,11.26,1,10,,
FEED,,,,,435,303.556,114.037,353.764,3.153,13.03,19,10,,
FEED,,,,,436,728.642,286.992,288.953,1.433,15.84,0,14,,
FEED,,,,,437,971.704,352.377,435.17,2.647,93.92,12,5,,
FEED,,,,,438,317.257,861.255,147.927,4.486,118.03,12,8,,
FEED,,,,,439,474.665,624.239,35.193,2.156,44.87,6,21,,
FEED,,,,,440,174.509,463.03,273.031,2.269,95.93,19,15,,
FEED,,,,,441,424.627,469.794,158.514,1.302,110.94,11,3,,
FEED,,,,,442,738.645,734.786,451.347,2.55,25.65,2,20,,
FEED,,,,,443,281.452,82.16,252.805,3.455,154.45,1,16,,
FEED,,,,,444,566.445,891.026,149.527,4.467,92.3,6,12,,
FEED,,,,,445,869.36,173.405,139.073,4.156,110.74,17,6,,
FEED,,,,,446,579.013,690.026,307.084,4.015,119.68,5,18,,
FEED,,,,,447,794.353,896.093,346.82,3.115,182.74,12,16,,
FEED,,,,,448,961.639,219.526,374.258,4.585,71.88,18,12,,
FEED,,,,,449,412.599,338.767,371.638,1.018,166.94,19,7,,
FEED,,,,,450,221.988,58.994,227.853,4.585,26.45,19,11,,
FEED,,,,,451,27.377,256.051,443.85,0.522,107.05,9,14,,
FEED,,,,,452,41.604,514.263,495.638,2.533,150.85,12,10,,
FEED,,,,,453,550.697,405.308,444.818,3.396,48.77,3,20,,
FEED,,,,,454,641.584,460.932,350.669,2.107,108.27,7,12,,
FEED,,,,,455,327.974,912.31,79.67,2.331,41.16,13,19,,
FEED,,,,,456,523.158,720.662,243.672,4.241,54.66,10,1,,
FEED,,,,,457,698.385,710.442,405.525,3.071,30.31,0,23,,
FEED,,,,,458,341.837,196.92,440.791,2.25,45.27,1,5,,
FEED,,,,,459,994.988,744.955,285.045,1.213,9.63,13,2,,
FEED,,,,,460,817.347,517.504,126.801,4.187,51.99,4,18,,
FEED,,,,,461,866.48,348.871,423.272,3.727,11.37,5,11,,
FEED,,,,,462,166.115,914.777,276.927,0.576,132.36,13,16,,
FEED,,,,,463,408.628,20.726,89.963,4.354,158.22,19,3,,
FEED,,,,,464,128.35,760.762,396.564,2.831,199.89,15,20,,
FEED,,,,,465,33.541,483.255,363.97,0.612,169.78,0,7,,
FEED,,,,,466,319.997,68.299,227.825,3.387,186.98,16,0,,
FEED,,,,,467,818.543,41.566,435.619,3.663,157.09,7,19,,
FEED,,,,,468,859.473,648.843,248.272,2.12,128.41,7,3,,
FEED,,,,,469,121.847,874.675,22.94,1.556,32.52,15,8,,
FEED,,,,,470,549.941,848.124,394.395,0.446,143.46,15,15,,
FEED,,,,,471,760.731,56.681,109.717,0.924,141.24,2,7,,
FEED,,,,,472,368.868,3.527,496.567,4.61,175.5,15,20,,
FEED,,,,,473,219.268,927.868,107.605,0.541,107.3,7,8,,
FEED,,,,,474,284.927,236.774,437.891,0.176,100.55,6,9,,
FEED,,,,,475,380.775,46.659,225.838,0.468,99.3,11,1,,
FEED,,,,,476,456.345,400.327,212.733,0.195,51.47,2,19,,
FEED,,,,,477,760.43,680.232,464.724,3.481,97.68,5,3,,
FEED,,,,,478,142.275,963.873,390.174,4.898,121.01,8,21,,
FEED,,,,,479,908.951,99.184,19.963,3.317,175.75,8,7,,
FEED,,,,,480,355.124,986.585,344.327,2.211,193.6,10,9,,
FEED,,,,,481,684.536,68.777,367.949,4.896,193.16,9,8,,
FEED,,,,,482,1.949,221.076,350.529,2.135,124.51,14,6,,
FEED,,,,,483,617.778,147.064,153.244,2.642,196.52,18,18,,
FEED,,,,,484,140.046,429.147,176.933,2.511,91.85,9,8,,
FEED,,,,,485,515.25,478.648,433.003,1.75,94.76,3,5,,
FEED,,,,,486,435.072,909.211,166.749,3.235,63.98,3,8,,
FEED,,,,,487,602.358,304.28,323.332,3.847,136.89,14,7,,
FEED,,,,,488,50.64,24.796,443.154,1.005,123.57,0,4,,
